WindowID GlobalStart DetectMax DetectMaxIdx XMax XMaxIdx YMax YMaxIdx X_mm Y_mm LocateConf NormMethod
1 22074152 0.000017 0 0.123983 206 0.110495 201 -186.645 -189.699 0.117239 channel
2 22074252 0.997245 900 0.885162 311 0.880249 713 -122.495 123.106 0.882705 channel
3 22074352 0.997641 800 0.909398 314 0.872805 707 -120.662 119.440 0.891101 channel
4 22074452 0.997497 701 0.916793 312 0.886106 714 -121.884 123.717 0.901449 channel
5 22074552 0.997351 600 0.918131 318 0.855096 714 -118.218 123.717 0.886614 channel
6 22074652 0.997367 500 0.913972 317 0.875524 711 -118.829 121.884 0.894748 channel
7 22074752 0.997641 400 0.918716 317 0.870234 711 -118.829 121.884 0.894475 channel
8 22074852 0.997497 301 0.913421 318 0.859602 712 -118.218 122.495 0.886511 channel
9 22074952 0.997351 200 0.874051 322 0.813123 704 -115.775 117.608 0.843587 channel
10 22075052 0.997368 100 0.887217 321 0.838708 703 -116.386 116.997 0.862963 channel
11 22075152 0.000071 68 0.134156 164 0.099310 194 -212.304 -193.976 0.116733 channel
12 22075252 0.000017 0 0.081480 170 0.056093 170 -208.639 -208.639 0.068787 channel
13 22075352 0.000017 0 0.001221 928 0.000842 929 254.460 255.071 0.001031 channel
14 22075452 0.000017 0 0.146885 196 0.136407 194 -192.754 -193.976 0.141646 channel
15 22075552 0.000017 0 0.155305 195 0.145199 194 -193.365 -193.976 0.150252 channel
16 22075652 0.000017 0 0.503157 897 0.433667 897 235.521 235.521 0.468412 channel
17 22075752 0.000017 0 0.152054 190 0.142580 189 -196.420 -197.031 0.147317 channel
18 22075852 0.000017 0 0.117650 169 0.094325 170 -209.250 -208.639 0.105987 channel
19 22075952 0.000017 0 0.130427 186 0.117360 186 -198.864 -198.864 0.123894 channel
20 22076052 0.000017 0 0.155197 174 0.145863 162 -206.195 -213.526 0.150530 channel
21 22076152 0.000017 0 0.146138 190 0.138960 190 -196.420 -196.420 0.142549 channel
