EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
1	214107	0.071369	-164.651	184.506	0.703	0.724	0.681	0.983	4
2	366939	0.122313	-154.264	176.870	0.557	0.681	0.433	0.976	3
3	547915	0.182638	232.466	-216.276	0.616	0.709	0.523	0.968	9
4	1255301	0.418434	-162.512	184.201	0.503	0.441	0.565	0.992	2
5	1753403	0.584468	-84.616	34.824	0.843	0.902	0.785	0.995	3
6	1959522	0.653174	-117.302	127.688	0.818	0.873	0.762	0.994	10
7	2034776	0.678259	-120.357	128.299	0.863	0.886	0.839	0.989	9
8	2794089	0.931363	-105.389	91.642	0.890	0.898	0.883	0.992	7
9	2968161	0.989387	236.131	-222.691	0.706	0.797	0.616	0.968	9
10	3085211	1.028404	-161.596	175.648	0.686	0.699	0.673	0.991	5
11	3698174	1.232725	182.368	-157.319	0.720	0.712	0.728	0.958	3
12	3935102	1.311701	-97.141	-91.337	0.649	0.707	0.590	0.985	2
13	4045594	1.348531	182.979	-166.789	0.761	0.734	0.788	0.960	2
14	4310711	1.436904	120.357	-110.582	0.882	0.885	0.880	0.996	9
15	4669797	1.556599	-71.481	-67.815	0.764	0.850	0.679	0.991	6
16	4874515	1.624838	-156.708	176.564	0.762	0.792	0.733	0.993	3
17	4968310	1.656103	181.757	-150.293	0.700	0.639	0.760	0.835	6
18	5047422	1.682474	-33.908	-65.677	0.644	0.611	0.678	0.917	2
19	5065303	1.688434	39.712	-68.426	0.923	0.915	0.931	0.996	9
20	5356414	1.785471	-151.210	168.316	0.786	0.811	0.761	0.992	9
21	5392895	1.797632	-66.593	-65.066	0.592	0.591	0.593	0.974	2
22	5591254	1.863751	-113.636	124.022	0.835	0.877	0.794	0.994	9
23	5616585	1.872195	-214.137	230.938	0.573	0.638	0.508	0.977	2
24	5616584	1.872195	-214.137	-206.195	0.612	0.687	0.537	0.977	6
25	5674916	1.891639	-212.915	220.858	0.582	0.628	0.535	0.963	8
26	5799357	1.933119	166.483	-154.875	0.796	0.778	0.813	0.978	8
27	5804266	1.934755	167.094	-148.766	0.783	0.746	0.819	0.953	6
28	5835495	1.945165	84.311	-78.812	0.773	0.735	0.811	0.991	2
29	5874763	1.958254	-214.443	234.299	0.762	0.789	0.735	0.748	5
30	5923932	1.974644	182.979	-154.264	0.681	0.605	0.757	0.963	3
31	5969441	1.989814	-194.892	209.250	0.502	0.538	0.467	0.993	3
32	6080979	2.026993	2.749	-66.899	0.762	0.622	0.902	0.979	5
33	6311712	2.103904	-141.740	170.149	0.824	0.847	0.802	0.992	9
34	6367896	2.122632	-147.849	169.844	0.656	0.764	0.547	0.974	5
35	6435519	2.145173	124.022	-124.939	0.900	0.902	0.898	0.992	9
36	6468289	2.156096	-109.971	118.218	0.627	0.751	0.504	0.989	2
37	6475083	2.158361	91.337	-109.665	0.851	0.854	0.848	0.992	8
38	6497742	2.165914	-174.731	184.201	0.611	0.611	0.610	0.992	5
39	6846264	2.282088	112.109	-109.360	0.865	0.849	0.882	0.992	5
40	6846261	2.282087	-103.556	-105.694	0.574	0.485	0.663	0.991	2
41	6885508	2.295169	40.323	-48.570	0.688	0.652	0.724	0.994	2
42	7042683	2.347561	-97.141	-92.864	0.651	0.698	0.604	0.989	2
43	7258423	2.419474	-156.708	176.870	0.733	0.800	0.665	0.990	6
44	7435638	2.478546	-156.708	179.619	0.687	0.776	0.598	0.978	7
45	7506792	2.502264	-152.126	119.746	0.708	0.811	0.606	0.994	2
46	7540482	2.513494	124.022	-120.051	0.895	0.893	0.898	0.993	9
47	7567571	2.522524	-147.544	167.094	0.816	0.828	0.804	0.989	9
48	7689427	2.563142	170.455	-145.711	0.834	0.812	0.857	0.990	9
49	8080568	2.693523	-168.622	184.506	0.652	0.683	0.622	0.964	2
50	8304055	2.768018	-66.288	-63.539	0.693	0.751	0.634	0.994	3
51	8447930	2.815977	84.922	-82.173	0.889	0.888	0.891	0.993	6
52	8680472	2.893491	182.674	-162.207	0.754	0.767	0.742	0.961	5
53	8700637	2.900212	-213.832	233.993	0.736	0.718	0.755	0.931	3
54	8898070	2.966023	-97.141	-93.170	0.617	0.729	0.505	0.983	2
55	8981076	2.993692	86.144	-87.671	0.820	0.801	0.838	0.991	3
56	9112766	3.037589	234.910	-216.581	0.636	0.709	0.562	0.824	3
57	9198699	3.066233	-165.261	184.812	0.722	0.760	0.683	0.989	8
58	9643453	3.214484	-162.512	183.590	0.709	0.675	0.743	0.989	4
59	10264938	3.421646	-151.210	164.040	0.835	0.833	0.837	0.995	9
60	10442187	3.480729	233.382	-215.970	0.646	0.744	0.547	0.984	8
61	10612074	3.537358	-113.331	125.550	0.815	0.844	0.787	0.995	7
62	10622562	3.540854	-104.778	112.414	0.784	0.850	0.718	0.990	6
63	10789802	3.596601	-155.486	179.008	0.593	0.648	0.538	0.987	2
64	10908724	3.636241	-121.273	128.605	0.729	0.839	0.618	0.959	8
65	11054506	3.684835	183.284	-159.763	0.776	0.788	0.765	0.984	7
66	11193047	3.731016	-167.705	182.063	0.563	0.433	0.692	0.991	2
67	11196407	3.732136	108.749	-110.276	0.718	0.636	0.801	0.988	3
68	11265019	3.755006	-112.720	107.527	0.759	0.856	0.662	0.899	2
69	11428012	3.809337	-174.731	183.284	0.579	0.535	0.623	0.961	5
70	11517251	3.839084	233.382	-218.719	0.593	0.689	0.498	0.972	3
71	11589043	3.863014	183.895	-160.985	0.730	0.725	0.734	0.989	4
72	11605122	3.868374	88.893	-104.778	0.869	0.884	0.854	0.991	8
73	11609023	3.869674	91.337	-97.141	0.854	0.865	0.843	0.994	7
74	11679013	3.893004	174.426	-144.184	0.578	0.419	0.737	0.977	4
75	11716388	3.905463	-156.403	173.509	0.768	0.817	0.720	0.994	9
76	11738066	3.912689	-85.533	-76.063	0.816	0.849	0.783	0.989	4
77	11754906	3.918302	-199.780	207.417	0.610	0.472	0.748	0.972	2
78	11914657	3.971552	-106.916	112.109	0.692	0.780	0.603	0.989	8
79	11983451	3.994484	102.028	-136.852	0.759	0.713	0.805	0.745	2
80	12030393	4.010131	164.956	-127.383	0.823	0.789	0.857	0.994	7
