EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
1	14138	0.004713	-157.930	241.019	0.807	0.817	0.797	0.992	10
2	23659	0.007886	-215.054	233.993	0.790	0.795	0.786	0.993	5
3	33431	0.011144	-176.564	205.584	0.899	0.922	0.877	0.994	10
4	64111	0.021370	-215.054	234.299	0.754	0.740	0.767	0.943	2
5	76715	0.025572	-169.844	230.022	0.733	0.805	0.662	0.987	9
6	91921	0.030640	-215.359	230.327	0.573	0.502	0.644	0.919	7
7	113617	0.037872	-168.011	229.717	0.651	0.697	0.604	0.991	4
8	114057	0.038019	-166.789	234.604	0.628	0.663	0.593	0.987	5
9	134101	0.044700	-214.748	233.993	0.810	0.794	0.827	0.996	4
10	170226	0.056742	-207.722	229.411	0.635	0.626	0.645	0.991	10
11	199887	0.066629	-209.250	229.106	0.555	0.489	0.622	0.993	9
12	241403	0.080468	-162.512	226.662	0.825	0.863	0.788	0.993	9
13	255194	0.085065	-96.530	-93.170	0.605	0.659	0.550	0.985	2
14	266340	0.088780	-170.760	227.578	0.678	0.708	0.648	0.984	9
15	278133	0.092711	233.688	-214.748	0.737	0.767	0.707	0.800	4
16	286661	0.095554	-160.985	236.437	0.684	0.696	0.672	0.990	10
17	297974	0.099325	-166.789	242.852	0.873	0.872	0.874	0.991	9
18	327774	0.109258	-166.178	236.742	0.668	0.712	0.625	0.989	9
19	347038	0.115679	-176.870	229.411	0.649	0.679	0.619	0.991	8
20	351166	0.117055	-215.054	233.993	0.731	0.697	0.766	0.714	9
21	365850	0.121950	-64.150	37.879	0.646	0.841	0.451	0.990	2
22	380381	0.126794	-157.930	242.241	0.729	0.670	0.788	0.951	2
23	382034	0.127345	-160.374	235.826	0.734	0.765	0.702	0.995	9
24	391187	0.130396	234.299	-221.163	0.701	0.787	0.615	0.989	9
25	503589	0.167863	-214.137	231.549	0.777	0.771	0.783	0.967	2
26	513612	0.171204	-143.573	235.826	0.758	0.796	0.720	0.885	9
27	514942	0.171647	-158.847	234.604	0.697	0.747	0.646	0.994	9
28	605538	0.201846	-156.708	228.189	0.804	0.854	0.754	0.991	9
29	643333	0.214444	-214.137	233.382	0.793	0.806	0.780	0.989	9
30	669670	0.223223	-154.875	241.630	0.827	0.845	0.808	0.994	9
31	684964	0.228321	234.299	-217.498	0.773	0.773	0.772	0.991	10
32	692645	0.230882	-224.218	229.411	0.495	0.452	0.538	0.901	2
33	696160	0.232053	-215.054	233.382	0.804	0.818	0.791	0.983	9
34	782904	0.260968	-214.137	233.077	0.816	0.827	0.806	0.990	7
35	866943	0.288981	-161.596	226.967	0.707	0.788	0.627	0.993	10
36	890003	0.296668	-156.708	237.048	0.718	0.761	0.674	0.983	9
37	974790	0.324930	-156.403	223.607	0.814	0.858	0.770	0.991	9
38	1004989	0.334996	-151.515	237.659	0.733	0.744	0.722	0.990	8
39	1040632	0.346877	-213.832	232.160	0.748	0.764	0.731	0.983	8
40	1043965	0.347988	-211.694	228.800	0.601	0.607	0.594	0.973	9
41	1188651	0.396217	234.299	-21.078	0.748	0.756	0.740	0.993	4
42	1219625	0.406542	-157.014	229.717	0.769	0.831	0.706	0.993	9
43	1267728	0.422576	-210.777	227.578	0.646	0.634	0.658	0.931	8
44	1274293	0.424764	30.242	-48.876	0.794	0.843	0.746	0.989	9
45	1289792	0.429931	-213.526	233.688	0.691	0.645	0.738	0.847	7
46	1347445	0.449148	-191.532	225.745	0.539	0.474	0.603	0.923	7
47	1417573	0.472524	95.308	-97.446	0.630	0.568	0.692	0.990	3
48	1449281	0.483094	-214.443	233.993	0.775	0.762	0.787	0.960	9
49	1500547	0.500182	-211.083	231.244	0.680	0.675	0.686	0.984	7
50	1597345	0.532448	-215.665	231.855	0.589	0.517	0.661	0.988	9
51	1643135	0.547712	-197.642	228.800	0.614	0.616	0.611	0.985	8
52	1671535	0.557178	-177.786	231.244	0.639	0.641	0.636	0.990	4
53	1736503	0.578834	183.590	-157.014	0.624	0.541	0.708	0.800	2
54	1767128	0.589043	-214.137	233.382	0.747	0.740	0.755	0.971	4
55	1767540	0.589180	-155.181	222.691	0.864	0.896	0.832	0.993	10
56	1821691	0.607230	-214.137	231.244	0.634	0.584	0.683	0.780	3
57	1856188	0.618729	234.604	-215.665	0.709	0.769	0.649	0.973	9
58	1872410	0.624137	-164.651	183.590	0.672	0.697	0.648	0.990	6
59	1911347	0.637116	-214.748	233.993	0.794	0.795	0.793	0.992	6
60	2010133	0.670044	-212.304	231.244	0.696	0.754	0.638	0.988	10
61	2128504	0.709501	-159.457	234.910	0.734	0.793	0.674	0.989	9
62	2188719	0.729573	-65.982	-65.371	0.689	0.709	0.669	0.979	2
63	2290802	0.763601	-214.443	233.382	0.750	0.795	0.706	0.974	9
64	2320946	0.773649	-223.913	232.160	0.550	0.461	0.640	0.969	2
65	2627925	0.875975	-169.844	233.382	0.623	0.650	0.597	0.993	8
66	2810714	0.936905	-214.137	233.688	0.760	0.802	0.719	0.844	2
67	2859330	0.953110	233.688	-215.054	0.772	0.810	0.735	0.961	5
68	2881638	0.960546	-162.207	232.466	0.641	0.683	0.599	0.983	9
69	3035395	1.011798	-181.146	182.674	0.576	0.543	0.608	0.947	8
70	3072931	1.024310	-214.748	233.688	0.811	0.833	0.790	0.976	9
71	3124216	1.041405	-215.054	233.077	0.768	0.806	0.730	0.970	9
72	3248317	1.082772	-190.616	220.858	0.625	0.710	0.540	0.951	9
73	3263136	1.087712	-205.279	236.131	0.571	0.545	0.597	0.990	2
74	3529048	1.176349	-211.999	230.938	0.716	0.715	0.717	0.986	7
75	3579354	1.193118	-97.141	-93.170	0.622	0.675	0.570	0.967	2
76	3756663	1.252221	-142.962	237.964	0.808	0.803	0.814	0.995	10
77	3851008	1.283669	-211.083	229.717	0.559	0.474	0.643	0.963	2
78	4166051	1.388684	-168.316	182.979	0.548	0.504	0.592	0.976	4
79	4273077	1.424359	-214.443	234.604	0.767	0.772	0.761	0.977	5
80	4368873	1.456291	233.077	-217.803	0.637	0.763	0.510	0.979	7
81	4390916	1.463639	-212.610	231.549	0.650	0.633	0.667	0.827	7
82	4393358	1.464453	-178.091	231.855	0.625	0.641	0.608	0.975	6
83	4755086	1.585029	-209.250	-207.722	0.490	0.499	0.481	0.957	3
84	4775739	1.591913	-214.748	233.993	0.765	0.801	0.728	0.966	9
85	4838963	1.612988	-212.610	229.411	0.590	0.583	0.596	0.961	3
86	4978391	1.659464	-214.443	233.993	0.711	0.705	0.718	0.967	4
87	5047418	1.682473	-213.221	232.466	0.671	0.668	0.674	0.987	9
88	5085152	1.695051	234.910	-215.970	0.802	0.816	0.788	0.906	7
89	5322289	1.774096	-214.137	233.077	0.783	0.801	0.765	0.847	9
90	5421740	1.807247	-155.486	237.353	0.763	0.811	0.716	0.993	9
91	5487203	1.829068	231.855	-220.247	0.573	0.676	0.471	0.923	2
92	5503297	1.834432	-174.120	227.273	0.628	0.660	0.597	0.987	8
93	5508512	1.836171	-97.752	-96.530	0.532	0.618	0.445	0.991	2
94	6160539	2.053513	-220.552	232.160	0.579	0.502	0.656	0.874	3
95	6590420	2.196807	-215.359	234.910	0.768	0.775	0.762	0.766	6
96	6718693	2.239564	189.394	-178.702	0.796	0.775	0.817	0.988	3
97	7128942	2.376314	-205.584	228.800	0.574	0.547	0.602	0.806	10
98	7721173	2.573724	-168.316	228.189	0.670	0.729	0.611	0.990	9
99	8129713	2.709904	-157.625	223.913	0.771	0.823	0.720	0.991	9
100	8272038	2.757346	-101.112	-22.605	0.692	0.902	0.483	0.993	3
101	8898431	2.966144	-93.781	-91.948	0.723	0.731	0.716	0.977	3
102	8907963	2.969321	-95.613	-90.726	0.712	0.747	0.678	0.977	5
103	9678138	3.226046	-214.748	234.604	0.815	0.809	0.821	0.992	7
104	9711678	3.237226	-215.054	233.382	0.800	0.807	0.793	0.833	7
105	9714174	3.238058	-216.276	229.411	0.629	0.643	0.616	0.975	9
106	9952819	3.317606	-163.123	238.270	0.701	0.704	0.699	0.991	8
107	10159377	3.386459	-214.137	233.382	0.779	0.780	0.777	0.984	6
108	11397027	3.799009	-157.319	236.437	0.780	0.800	0.760	0.992	9
109	11764827	3.921609	180.841	-158.847	0.699	0.634	0.764	0.984	8
