EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
1	1706	0.000569	114.247	-117.302	0.863	0.842	0.884	0.992	9
2	25169	0.008390	-170.149	224.829	0.687	0.734	0.641	0.983	10
3	32598	0.010866	5.804	-23.827	0.903	0.915	0.892	0.983	9
4	38696	0.012899	179.924	-136.241	0.713	0.640	0.786	0.987	7
5	47833	0.015944	-159.457	215.970	0.815	0.856	0.774	0.994	10
6	56064	0.018688	-243.157	185.728	0.844	0.904	0.784	0.995	10
7	77409	0.025803	-81.256	-76.369	0.611	0.694	0.527	0.979	2
8	83573	0.027858	-29.936	-0.916	0.875	0.876	0.874	0.995	6
9	85983	0.028661	-215.054	232.771	0.648	0.632	0.664	0.988	8
10	104726	0.034909	-165.872	235.521	0.600	0.603	0.598	0.993	4
11	131673	0.043891	-215.970	234.910	0.805	0.801	0.809	0.987	8
12	140871	0.046957	-19.856	-42.155	0.667	0.618	0.716	0.976	2
13	143633	0.047878	-214.443	234.910	0.720	0.670	0.771	0.981	3
14	157784	0.052595	-193.976	228.800	0.579	0.630	0.528	0.990	4
15	176364	0.058788	-33.908	-64.455	0.870	0.848	0.891	0.968	9
16	180879	0.060293	-225.745	232.466	0.544	0.444	0.643	0.921	2
17	182021	0.060674	-215.359	234.910	0.761	0.774	0.748	0.967	4
18	214512	0.071504	231.855	-220.552	0.579	0.638	0.520	0.984	2
19	227735	0.075912	-193.976	230.022	0.533	0.495	0.571	0.992	2
20	252240	0.084080	-214.748	233.993	0.736	0.749	0.724	0.946	2
21	259926	0.086642	-214.443	233.077	0.739	0.722	0.756	0.986	8
22	262963	0.087654	-208.639	232.160	0.568	0.464	0.671	0.992	3
23	264151	0.088050	234.604	-215.970	0.706	0.776	0.636	0.878	8
24	270664	0.090221	-69.343	48.570	0.938	0.947	0.930	0.996	10
25	298447	0.099482	-156.097	217.192	0.860	0.893	0.827	0.995	10
26	333055	0.111018	-214.137	234.299	0.700	0.761	0.638	0.961	3
27	333055	0.111018	-212.610	-206.195	0.647	0.665	0.628	0.949	3
28	333053	0.111018	-214.443	236.437	0.684	0.723	0.644	0.958	2
29	350178	0.116726	-142.045	178.702	0.651	0.748	0.554	0.994	6
30	367708	0.122569	-213.526	225.440	0.667	0.737	0.598	0.975	8
31	382439	0.127480	-207.722	-206.500	0.547	0.551	0.543	0.798	3
32	403153	0.134384	-214.748	234.604	0.785	0.803	0.767	0.969	9
33	414886	0.138295	177.175	-171.065	0.499	0.519	0.478	0.985	3
34	429201	0.143067	-40.017	-57.735	0.903	0.908	0.898	0.977	9
35	439870	0.146623	-172.898	226.662	0.624	0.663	0.585	0.990	7
36	451771	0.150590	-215.054	233.688	0.761	0.751	0.770	0.990	5
37	456468	0.152156	-214.137	233.382	0.759	0.741	0.776	0.953	4
38	463304	0.154435	-148.155	241.019	0.830	0.818	0.842	0.994	9
39	476825	0.158942	-166.178	222.385	0.707	0.783	0.631	0.986	9
40	481224	0.160408	81.867	-78.812	0.857	0.847	0.867	0.891	2
41	493590	0.164530	-174.731	225.745	0.662	0.700	0.625	0.983	8
42	518582	0.172861	-214.443	234.910	0.780	0.768	0.793	0.902	7
43	634110	0.211370	234.604	-120.968	0.716	0.765	0.666	0.990	4
44	673778	0.224593	-160.985	233.382	0.714	0.799	0.630	0.992	9
45	705250	0.235083	232.466	-220.247	0.628	0.711	0.544	0.970	10
46	773213	0.257738	-31.464	-65.982	0.765	0.725	0.804	0.991	3
47	779695	0.259898	-150.599	224.829	0.814	0.876	0.753	0.992	9
48	783562	0.261187	-158.541	226.051	0.728	0.776	0.680	0.991	9
49	816611	0.272204	203.446	-183.590	0.793	0.766	0.821	0.990	9
50	842161	0.280720	-177.786	218.414	0.863	0.891	0.834	0.993	10
51	860848	0.286949	234.604	-153.348	0.701	0.651	0.750	0.976	8
52	902922	0.300974	-215.665	233.688	0.762	0.803	0.721	0.969	4
53	906038	0.302013	99.890	-104.778	0.820	0.785	0.856	0.992	8
54	914353	0.304784	-159.152	224.523	0.677	0.774	0.581	0.992	10
55	935611	0.311870	-172.287	221.469	0.713	0.756	0.670	0.972	9
56	1059913	0.353304	-103.556	84.616	0.903	0.897	0.909	0.994	6
57	1088428	0.362809	185.423	-155.181	0.764	0.713	0.816	0.990	8
58	1099843	0.366614	-213.832	233.688	0.703	0.739	0.666	0.786	2
59	1146467	0.382156	233.993	-214.748	0.738	0.801	0.675	0.792	6
60	1174781	0.391594	-217.192	229.411	0.506	0.439	0.573	0.988	3
61	1229738	0.409913	107.832	-97.141	0.712	0.684	0.740	0.854	2
